product_id,title,category,material,compatibility,key_features,functions,other_attributes,processing_timestamp
1,"FYY Leather Case with Mirror for Samsung Galaxy S8 Plus, Leather Wallet Flip Folio Case with Mirror and Wrist Strap for Samsung Galaxy S8 Plus Black",Phone Cases,Premium PU Leather,Samsung Galaxy S8 Plus,"Leather Wallet Flip Folio, Mirror, Wrist Strap, RFID Shielding Technology","Answer Phone, Card Slots, Kickstand","Handmade, Sleek, Practical, Elegant, Multiple Colors",2026-01-30 11:38:25.846589
2,"Playtex Women's 18 Hour Easy On, Easy Off Front & Back Close Post Surgery Bra US400C",Post Surgery Bra,"Soft, Seamless Cotton Comfort Blend",Wire Free,"Front & Back Close, Wire Free, Soft, Seamless Cotton Comfort Blend",,Wide Comfort Straps,2026-01-30 11:41:10.920155
4,"YUEPIN U-Tube Clamp 304 Stainless Steel Hose Pipe Cable Strap Clips With Rubber Cushioned (1-21/32""(42mm)-10pcs)",Hose Clamps,"['304 Stainless Steel', 'Rubber']",,U-Shape,,10 Pieces,2026-01-30 11:43:32.473370
5,Bruce's Big Storm (Mother Bruce Series),Children's Books,Paperback,N/A,"Children's Literature, Animal Characters, Moral Story",,"Age Range: 4-8 years, Format: Paperback",2026-01-30 11:46:16.146504
6,DJI Shoulder Neck Strap Belt Sling Lanyard Necklaces for Dji Phantom 3 Inspire 1 Remote,Accessories,"Neoprene, Nylon","DJI Phantom 3, DJI Inspire 1",Adjustable design,,"Material: Neoprene, Nylon",2026-01-30 11:48:47.341129
7,Crocs Jibbitz 5-Pack Alien Shoe Charms | Jibbitz for Crocs,Shoe Charms,Plastic,Crocs,"Perfect addition to favorite pairs of clogs, slides, and more., Not a toy., Not intended for children under 3 years of age., Incredibly light and fun to wear., Water-friendly., Easy to clean and quick to dry., Pivoting heel straps for a more secure fit., Customizable with Jibbitz charms.",,Roomy fit,2026-01-30 11:55:13.942629
10,"Design Toscano QM2787100 Darby, the Forest Fawn Baby Deer Statue,full color","Home Decor, Garden Decor",Resin,,"Full color, Hand-painted, Intricate details, Expressive eyes, Delicate antlers",,"Perfect addition to any garden, patio, or living space, Thoughtful gift for nature lovers and collectors",2026-01-30 11:58:31.724426
11,Zeagoo Women's Open Front Cardigan 3/4 Sleeve Draped Ruffles Soft Knit Sweaters,Women's Sweaters,"Rayon, Spandex","Jeans, Leggings, Dresses","Lightweight, Skin-friendly, Flattering, Soft, Comfortable",Can be worn for various occasions,Available in different sizes and colors,2026-01-30 12:09:11.040954
12,Rekayla Open Toe Tie Up Ankle Wrap Flat Sandals for Women,Sandals,"['Elastic', 'Leather']",['Summer'],"Open toe, V-shape T-strap, Buckle closure, Ankle strap","Anti-sliding, Easy to carry","Colors: Black, Inky Navy, Khaki Green, Beige, Brown, Gold, Red, White, Navy Blue, Brown, Gold, Silver, Brown-black, Black, Brown, White, Gold-nude, Nude, Red",2026-01-30 12:13:30.120594
13,"Apron for Women, Waterproof Adjustable Bib Cooking Aprons with Pocket-2 Side Coral Velvet Towels Stitched Durable Pinstripe Aprons for Dishwashing, Baking, Grill, Restaurant Even Garden Craft",Cooking,Waterproof,Adjustable bibs,"Waterproof material, Adjustable bibs, Two side pockets",,"Durable pinstripe design, Suitable for various activities: dishwashing, baking, grilling, gardening crafts",2026-01-30 12:16:51.409815
14,"DIY 5D Diamond Painting by Number Kit for Adult, Full Drill Crystal Rhinestone Embroidery Cross Stitch Diamond Embroidery Dotz Kit Home Wall Decor 15.8×11.8 Inch (Wolf)",Home Decor,Resin Diamonds,Full Drill,"DIY Kit, Full Drill, Round Shape, Home Decor, Entertainment, Gifts",,"Size: 15.8×11.8 inch/ 40*30cm, Pasting Area: Full Drill",2026-01-30 12:23:26.743460
19,"Under Armour Men's Micro G Pursuit-Wide Sneaker, 15",Sneakers,"Mesh, TPU",,"Lightweight, Breathable, Durable, Superior comfort",,"Mesh upper with bonded taping at midfoot, TPU heel overlay, Enhanced cushioning around ankle collar, Full-length EVA sock liner, Cushioned EVA midsole, Aggressive outsole traction pattern, Strategically placed rubber pods beneath the heel & forefoot",2026-01-30 12:27:15.415911
21,Drake Feelings MyFaveGift Drizzy Champagne Papi If You're Reading This You're Too Close 11oz Coffee Mug Cup Gifts For Drake Lover,Home & Kitchen,Ceramic,Microwave safe,Drake quote,,"11oz, coffee mug, gift",2026-01-30 12:29:46.040470
22,Spider-Man: Homecoming Spider Sight Mask,Costume Accessory,Plastic,One size fits most,"Moving eyes activated by mouth movement, Movie-inspired design",,Flexible band,2026-01-30 12:35:42.073664
23,Tee Luv ICEE Polar Bear Logo T-Shirt,Apparel,Poly-cotton,Unisex,"Retro design, Soft fabric, Distressed graphic",,"Available in various colors, Machine washable and dryable",2026-01-30 12:40:52.704696
26,GADIEMKENSD Unisex Baseball Cap Breathable Sport Hat,Sports Hats,100% Nylon,Unisex,"UV Protection (UPF 50+), Breathable Mesh Design, Quick-Drying","Sweatband, Adjustable Buckles","Lightweight, Foldable",2026-01-30 12:47:23.520517
27,dbest products Trolley Dolly Red Foldable Shopping cart for Groceries with Wheels and Removable Bag and Rolling Personal Handtruck Standard,Shopping carts,Weatherproof material,Can be used for various items,"Large comfortable handle with rubberized grip, Oversized, beefy wheels, Removable shopping bag with seven compartments and pockets, Transforms into a Dolly for weight capacity of 110 lb",,"Folds in half the size of traditional trolleys for compact storage, Made of durable aluminum frame",2026-01-30 12:53:04.869723
